0	112
1	139.857
2	155.5
3	162
4	167
5	170.5
6	172.5
7	174
8	175
9	176.5
10	178
11	178.5
12	179
13	180
14	181
15	182
16	182.5
17	183
18	184
19	184.5
20	185
21	186
22	186
23	187
24	187.5
25	188
26	188.5
27	189
28	189.5
29	189.5
30	190
31	190.5
33	191
34	191.5
35	192
36	192
37	192
38	192.5
39	192.5
40	192.5
41	193
42	193
43	193
44	193.5
45	193.5
46	193.5
47	193.5
48	193.5
49	194
50	194
51	194
52	194
53	194
54	194.5
55	195
56	195
57	195
58	195
59	195
60	195
61	195.5
62	195.5
63	195.5
64	195.5
65	196
66	196
67	196
68	196
69	196
70	196
71	196
72	197
73	197
74	197
75	197
76	197
77	197
78	198
79	198
80	198
81	198
82	198
83	197
84	199
85	198
86	198.5
87	198
88	198.5
89	198.5
90	198.5
91	198
92	198.5
93	199
94	199
95	199
96	199
97	199
98	199
99	199
100	199
101	199
102	199
103	199
104	199
105	199
106	199
107	199
108	199
109	199
110	199
111	199
112	199
113	199
114	199
115	199
116	199
117	199
118	199
119	199
120	199
121	199
122	199
123	199
124	199
125	199
126	199
127	199
128	199
129	199
130	199
131	199
132	199.5
133	200
134	200
135	200
136	200
137	200
138	200
139	200
140	200
141	200
142	200
143	200
144	200
145	200
146	200
147	200
148	200
149	200
150	200
151	200
152	200
153	200.5
154	201
155	201
156	201
157	201
158	201
159	201
160	201
161	201
162	201
163	201
164	201.5
165	201.5
166	201.5
167	201.5
168	201.5
169	201.5
170	202
171	202
172	202
173	202
174	202
175	202
176	202.5
177	203
178	203
179	203
180	203
181	203
182	203
183	203.5
184	203.5
185	204
186	204
187	204
188	204
189	204.5
190	204.5
191	205
192	205
193	205
194	206
196	206
197	207
198	207
199	207
200	207
201	207.5
202	208
203	208.5
204	209
205	209.5
206	210
207	210.5
208	211
209	212
210	212.5
211	213.5
212	214
213	215
214	216
215	216.5
216	218
217	219
218	220
219	221
220	222
221	223.5
222	225
223	227.5
224	229.5
225	231.5
226	234
227	236.5
228	237
229	237
233	237
