V,C,Ah
3.367322222222222,1,0.02608695652173913
3.312961111111111,1,0.05217391304347826
3.2944444444444443,1,0.07826086956521738
3.286111111111111,1,0.10434782608695652
3.275,1,0.13043478260869565
3.2666666666666666,1,0.15652173913043477
3.263888888888889,1,0.1826086956521739
3.2527777777777778,1,0.20869565217391303
3.2472222222222222,1,0.23478260869565215
3.2472222222222222,1,0.2608695652173913
3.2416666666666667,1,0.28695652173913044
3.2416666666666667,1,0.31304347826086953
3.236111111111111,1,0.3391304347826087
3.2333333333333334,1,0.3652173913043478
3.2333333333333334,1,0.391304347826087
3.227777777777778,1,0.41739130434782606
3.225,1,0.4434782608695652
3.225,1,0.4695652173913043
3.2222222222222223,1,0.4956521739130435
3.219444444444444,1,0.5217391304347826
3.216666666666667,1,0.5478260869565217
3.216666666666667,1,0.5739130434782609
3.216666666666667,1,0.6
3.216666666666667,1,0.6260869565217391
3.2111111111111112,1,0.6521739130434783
3.2111111111111112,1,0.6782608695652174
3.2055555555555557,1,0.7043478260869565
3.208333333333333,1,0.7304347826086957
3.208333333333333,1,0.7565217391304347
3.2055555555555557,1,0.782608695652174
3.2027777777777775,1,0.8086956521739129
3.2027777777777775,1,0.8347826086956521
3.2027777777777775,1,0.8608695652173913
3.2027777777777775,1,0.8869565217391304
3.2,1,0.9130434782608695
3.2,1,0.9391304347826086
3.2,1,0.9652173913043478
3.2,1,0.991304347826087
3.197222222222222,1,1.017391304347826
3.197222222222222,1,1.0434782608695652
3.197222222222222,1,1.0695652173913042
3.197222222222222,1,1.0956521739130434
3.197222222222222,1,1.1217391304347826
3.1916666666666664,1,1.1478260869565218
3.1916666666666664,1,1.173913043478261
3.1916666666666664,1,1.2
3.1916666666666664,1,1.2260869565217392
3.1916666666666664,1,1.2521739130434781
3.1916666666666664,1,1.2782608695652173
3.1916666666666664,1,1.3043478260869565
3.188888888888889,1,1.3304347826086955
3.188888888888889,1,1.3565217391304347
3.188888888888889,1,1.3826086956521737
3.188888888888889,1,1.408695652173913
3.188888888888889,1,1.434782608695652
3.188888888888889,1,1.4608695652173913
3.188888888888889,1,1.4869565217391303
3.188888888888889,1,1.5130434782608695
3.188888888888889,1,1.5391304347826087
3.188888888888889,1,1.565217391304348
3.1833333333333336,1,1.591304347826087
3.1833333333333336,1,1.6173913043478259
3.1833333333333336,1,1.643478260869565
3.1833333333333336,1,1.6695652173913043
3.1833333333333336,1,1.6956521739130435
3.1833333333333336,1,1.7217391304347827
3.1833333333333336,1,1.7478260869565216
3.1833333333333336,1,1.7739130434782608
3.1833333333333336,1,1.8
3.1833333333333336,1,1.826086956521739
3.1833333333333336,1,1.8521739130434782
3.1777777777777776,1,1.8782608695652172
3.1777777777777776,1,1.9043478260869564
3.1777777777777776,1,1.9304347826086956
3.1777777777777776,1,1.9565217391304348
3.1777777777777776,1,1.982608695652174
3.1777777777777776,1,2.008695652173913
3.1777777777777776,1,2.034782608695652
3.1777777777777776,1,2.0608695652173914
3.1777777777777776,1,2.0869565217391304
3.1777777777777776,1,2.11304347826087
3.1777777777777776,1,2.1391304347826083
3.1777777777777776,1,2.1652173913043478
3.175,1,2.1913043478260867
3.175,1,2.217391304347826
3.175,1,2.243478260869565
3.175,1,2.269565217391304
3.175,1,2.2956521739130435
3.175,1,2.3217391304347825
3.175,1,2.347826086956522
3.175,1,2.373913043478261
3.175,1,2.4
3.175,1,2.426086956521739
3.175,1,2.4521739130434783
3.175,1,2.4782608695652173
3.172222222222222,1,2.5043478260869563
3.1694444444444443,1,2.5304347826086953
3.1694444444444443,1,2.5565217391304347
3.1694444444444443,1,2.5826086956521737
3.1694444444444443,1,2.608695652173913
3.1694444444444443,1,2.634782608695652
3.1694444444444443,1,2.660869565217391
3.1694444444444443,1,2.6869565217391305
3.1694444444444443,1,2.7130434782608694
3.1694444444444443,1,2.739130434782609
3.1694444444444443,1,2.7652173913043474
3.1694444444444443,1,2.7913043478260873
3.1694444444444443,1,2.817391304347826
3.1694444444444443,1,2.843478260869565
3.1694444444444443,1,2.869565217391304
3.1694444444444443,1,2.895652173913043
3.1694444444444443,1,2.9217391304347826
3.1694444444444443,1,2.9478260869565216
3.1666666666666665,1,2.9739130434782606
3.1666666666666665,1,3.0
3.1666666666666665,1,3.026086956521739
3.1666666666666665,1,3.0521739130434784
3.1666666666666665,1,3.0782608695652174
3.1666666666666665,1,3.1043478260869564
3.1666666666666665,1,3.130434782608696
3.1666666666666665,1,3.1565217391304343
3.1666666666666665,1,3.182608695652174
3.1666666666666665,1,3.2086956521739127
3.1666666666666665,1,3.2347826086956517
3.1666666666666665,1,3.260869565217391
3.1666666666666665,1,3.28695652173913
3.1666666666666665,1,3.3130434782608695
3.1666666666666665,1,3.3391304347826085
3.1666666666666665,1,3.3652173913043475
3.1666666666666665,1,3.391304347826087
3.1666666666666665,1,3.417391304347826
3.1666666666666665,1,3.4434782608695653
3.1666666666666665,1,3.4695652173913043
3.1638888888888888,1,3.4956521739130433
