V,C,Ah
3.4833333333333334,0.2,0.02608695652173913
3.3944444444444444,0.2,0.05217391304347826
3.355555555555555,0.2,0.07826086956521738
3.341666666666667,0.2,0.10434782608695652
3.3277777777777775,0.2,0.13043478260869565
3.325,0.2,0.15652173913043477
3.3138888888888887,0.2,0.1826086956521739
3.311111111111111,0.2,0.20869565217391303
3.3083333333333336,0.2,0.23478260869565215
3.3027777777777776,0.2,0.2608695652173913
3.2972222222222225,0.2,0.28695652173913044
3.2972222222222225,0.2,0.31304347826086953
3.2916666666666665,0.2,0.3391304347826087
3.2916666666666665,0.2,0.3652173913043478
3.2888888888888888,0.2,0.391304347826087
3.286111111111111,0.2,0.41739130434782606
3.2805555555555554,0.2,0.4434782608695652
3.2805555555555554,0.2,0.4695652173913043
3.2805555555555554,0.2,0.4956521739130435
3.2805555555555554,0.2,0.5217391304347826
3.275,0.2,0.5478260869565217
3.275,0.2,0.5739130434782609
3.275,0.2,0.6
3.275,0.2,0.6260869565217391
3.2694444444444444,0.2,0.6521739130434783
3.2694444444444444,0.2,0.6782608695652174
3.2694444444444444,0.2,0.7043478260869565
3.263888888888889,0.2,0.782608695652174
3.261111111111111,0.2,0.8347826086956521
3.2583333333333333,0.2,0.8608695652173913
3.2583333333333333,0.2,0.8869565217391304
3.2583333333333333,0.2,0.9130434782608695
3.2583333333333333,0.2,0.9391304347826086
3.2527777777777778,0.2,0.9652173913043478
3.2527777777777778,0.2,0.991304347826087
3.2527777777777778,0.2,1.017391304347826
3.2527777777777778,0.2,1.0434782608695652
3.2527777777777778,0.2,1.0695652173913042
3.2527777777777778,0.2,1.0956521739130434
3.2472222222222222,0.2,1.1217391304347826
3.2472222222222222,0.2,1.1478260869565218
3.2472222222222222,0.2,1.173913043478261
3.2472222222222222,0.2,1.2
3.2472222222222222,0.2,1.2260869565217392
3.2472222222222222,0.2,1.2521739130434781
3.2472222222222222,0.2,1.2782608695652173
3.2472222222222222,0.2,1.3043478260869565
3.2472222222222222,0.2,1.3304347826086955
3.2472222222222222,0.2,1.3565217391304347
3.2472222222222222,0.2,1.3826086956521737
3.2472222222222222,0.2,1.408695652173913
3.2472222222222222,0.2,1.434782608695652
3.2472222222222222,0.2,1.4608695652173913
3.2472222222222222,0.2,1.4869565217391303
3.2416666666666667,0.2,1.5130434782608695
3.2416666666666667,0.2,1.5391304347826087
3.2416666666666667,0.2,1.565217391304348
3.2416666666666667,0.2,1.591304347826087
3.2416666666666667,0.2,1.6173913043478259
3.2416666666666667,0.2,1.643478260869565
3.2416666666666667,0.2,1.6695652173913043
3.2416666666666667,0.2,1.6956521739130435
3.2416666666666667,0.2,1.7217391304347827
3.2416666666666667,0.2,1.7478260869565216
3.2416666666666667,0.2,1.7739130434782608
3.236111111111111,0.2,1.8
3.236111111111111,0.2,1.826086956521739
3.236111111111111,0.2,1.8521739130434782
3.236111111111111,0.2,1.8782608695652172
3.236111111111111,0.2,1.9043478260869564
